Sport,Event,Medal,Athlete,Country,Year,City,Season
JUDO,WOMEN’S 70KG,Bronze,Michaela Polleres,Austria,2024,Paris,Summer
JUDO,MEN’S 90KG,Bronze,Maxime-Gael Ngayap Hambou,France,2024,Paris,Summer
ROWING,MEN’S QUADRUPLE SCULLS,Bronze,"Dominik Czaja, Mateusz Biskup, Miroslaw Zietarski, Fabian Baranski)",Poland,2024,Paris,Summer
ROWING,WOMEN’S QUADRUPLE SCULLS,Bronze,"Maren Voelz, Tabea Schendekehl, Leonie Menzel, Pia Greiten)",Germany,2024,Paris,Summer
SWIMMING,WOMEN’S 100M FREESTYLE,Bronze,Siobhan Haughey,Hong Kong,2024,Paris,Summer
SWIMMING,"WOMEN’S 1,500M FREESTYLE",Bronze,Isabel Gose,Germany,2024,Paris,Summer
SWIMMING,MEN’S 100M FREESTYLE,Bronze,David Popovici,Romania,2024,Paris,Summer
SWIMMING,MEN’S 200M BREASTSTROKE,Bronze,Caspar Corbeau,Netherlands,2024,Paris,Summer
SWIMMING,MEN’S 200M BUTTERFLY,Bronze,Ilya Kharun,Canada,2024,Paris,Summer
SHOOTING,WOMEN’S TRAP,Bronze,Penny Smith,Australia,2024,Paris,Summer
TRIATHLON,WOMEN,Bronze,Beth Potter,Great Britain,2024,Paris,Summer
TRIATHLON,MEN,Bronze,Leo Bergere,France,2024,Paris,Summer
FENCING,WOMEN’S EPEE TEAM,Bronze,Poland,Poland,2024,Paris,Summer
GYMNASTICS,WOMEN’S TEAM,Bronze,Brazil,Brazil,2024,Paris,Summer
RUGBY SEVENS,WOMEN’S,Bronze,United States,United States,2024,Paris,Summer
SHOOTING,MIXED TEAM 10M AIR PISTOL,Bronze,Manu Bhaker and Sarabjot Singh,India,2024,Paris,Summer
SHOOTING,MEN’S TRAP,Bronze,Jean Pierre Brol,Guatemala,2024,Paris,Summer
SWIMMING,WOMEN’S 100M BACKSTROKE,Bronze,Katharine Berkoff,United States,2024,Paris,Summer
SWIMMING,MEN’S 800M FREESTYLE,Bronze,Gregorio Paltrinieri,Italy,2024,Paris,Summer
SWIMMING,MEN’S 4X200M FREESTYLE RELAY,Bronze,Australia,Australia,2024,Paris,Summer
TABLE TENNIS,MEN’S 4x200M FREESTYLE RELAY,Bronze,Lim Jong-hoon and Shin Yu-bin,South Korea,2024,Paris,Summer
ARCHERY,MIXED DOUBLES,Bronze,Turkey,Turkey,2024,Paris,Summer
ARTISTIC GYMNASTICS,MEN’S TEAM,Bronze,United States,United States,2024,Paris,Summer
CANOE SLALOM,MEN’S TEAM,Bronze,Matej Benus,Slovakia,2024,Paris,Summer
CYCLING MOUNTAIN BIKE,MEN’S CANOE SINGLE,Bronze,Alan Hatherly,South Africa,2024,Paris,Summer
DIVING,MEN’S CROSS-COUNTRY,Bronze,Rylan Wiens and Nathan Zsombor-Murray,Canada,2024,Paris,Summer
EQUESTRIAN,MEN’S SYNCHRONIZED 10M PLATFORM,Bronze,Japan,Japan,2024,Paris,Summer
FENCING,EVENTING TEAM,Bronze,Olga Kharlan,Ukraine,2024,Paris,Summer
FENCING,MEN’S FOIL INDIVIDUAL,Bronze,Nick Itkin,United States,2024,Paris,Summer
SHOOTING,WOMEN’S 57KG,Bronze,Audrey Gogniat,Switzerland,2024,Paris,Summer
SHOOTING,MEN’S 10M AIR RIFLE,Bronze,Miran Maricic,Croatia,2024,Paris,Summer
SKATEBOARDING,WOMEN’S 10M AIR RIFLE,Bronze,Nyjah Huston,United States,2024,Paris,Summer
SWIMMING,WOMEN’S 100M BREASTSTROKE,Bronze,Mona McSharry,Ireland,2024,Paris,Summer
SWIMMING,WOMEN’S 200M FREESTYLE,Bronze,Siobhan Bernadette Haughey,Hong Kong,2024,Paris,Summer
SWIMMING,WOMEN’S 400M INDIVIDUAL MEDLEY,Bronze,Emma Weyant,United States,2024,Paris,Summer
SWIMMING,MEN’S 100M BACKSTROKE,Bronze,Ryan Murphy,United States,2024,Paris,Summer
SWIMMING,MEN’S 200M FREESTYLE,Bronze,Luke Hobson,United States,2024,Paris,Summer
ARCHERY,WOMEN’S TEAM,Bronze,Mexico,Mexico,2024,Paris,Summer
CANOE SLALOM,WOMEN’S KAYAK SINGLE,Bronze,Kimberley Woods,Great Britain,2024,Paris,Summer
CYCLING MOUNTAIN BIKE,WOMEN’S CROSS-COUNTRY,Bronze,Jenny Rissveds,Sweden,2024,Paris,Summer
FENCING,WOMEN’S FOIL INDIVIDUAL,Bronze,Eleanor Harvey,Canada,2024,Paris,Summer
SHOOTING,MEN’S 10M AIR PISTOL,Bronze,Paolo Monna,Italy,2024,Paris,Summer
SWIMMING,MEN’S 400M INDIVIDUAL MEDLEY,Bronze,Carson Foster,United States,2024,Paris,Summer
SWIMMING,WOMEN’S 100M BUTTERFLY,Bronze,Zhang Yufei,China,2024,Paris,Summer
SHOOTING,WOMEN’S 10M AIR PISTOL,Bronze,Manu Bhaker,India,2024,Paris,Summer
SKATEBOARDING,WOMEN’S STREET,Bronze,Rayssa Leal,Brazil,2024,Paris,Summer
CYCLING,MEN’S INDIVIDUAL TIME TRIAL,Bronze,Wout van Aert,Belgium,2024,Paris,Summer
CYCLING,WOMEN’S INDIVIDUAL TIME TRIAL,Bronze,Chloe Dygert,United States,2024,Paris,Summer
DIVING,WOMEN’S SYNCHRONIZED 3M SPRINGBOARD,Bronze,Yasmin Harper and Scarlett Mew Jensen,Great Britain,2024,Paris,Summer
FENCING,WOMEN’S EPEE INDIVIDUAL,Bronze,Eszter Muhari,Hungary,2024,Paris,Summer
FENCING,MEN’S SABER INDIVIDUAL,Bronze,Luigi Samele,Italy,2024,Paris,Summer
JUDO,WOMEN 48KG,Bronze,Shirine Boukli,France,2024,Paris,Summer
RUGBY SEVENS,MEN’S,Bronze,South Africa,South Africa,2024,Paris,Summer
SHOOTING,10M AIR RIFLE MIXED TEAM,Bronze,Alexandra Le and Islam Satpayev,Kazakhstan,2024,Paris,Summer
SWIMMING,MEN’S 400M FREESTYLE,Bronze,Kim Woo-min,South Korea,2024,Paris,Summer
SWIMMING,MEN’S 4X100M FREESTYLE RELAY,Bronze,Italy,Italy,2024,Paris,Summer
SWIMMING,WOMEN’S 400M FREESTYLE,Bronze,Katie Ledecky,United States,2024,Paris,Summer
SWIMMING,WOMEN’S 4X100M FREESTYLE RELAY,Bronze,China,China,2024,Paris,Summer
BOXING,MEN’S 57KG,Bronze,Charlie Senior,Australia,2024,Paris,Summer
BOXING,MEN’S 57KG,Bronze,Javier Ibanez Diaz,Bulgaria,2024,Paris,Summer
BOXING,WOMEN’S 57KG,Bronze,Nesthy Petecio,Philippines,2024,Paris,Summer
BOXING,WOMEN’S 57KG,Bronze,Esra Yildiz Kahraman,Turkey,2024,Paris,Summer
BOXING,MEN’S +92KG,Bronze,Djamili-Dini Aboudou Moindze,France,2024,Paris,Summer
BOXING,MEN’S +92KG,Bronze,Nelvie Raman Tiafack,Germany,2024,Paris,Summer
BOXING,WOMEN’S 75KG,Bronze,Caitlin Parker,Australia,2024,Paris,Summer
BOXING,WOMEN’S 75KG,Bronze,Cindy Ngamba,AIN,2024,Paris,Summer
TAEKWONDO,MEN’S +80KG,Bronze,Cheick Sallah Cisse,Ivory Coast,2024,Paris,Summer
TAEKWONDO,MEN’S +80KG,Bronze,Rafael Alba,Cuba,2024,Paris,Summer
TAEKWONDO,WOMEN’S +67KG,Bronze,Lee Dabin,South Korea,2024,Paris,Summer
TAEKWONDO,WOMEN’S +67KG,Bronze,Nafia Kus Aydin,Turkey,2024,Paris,Summer
WRESTLING,MEN’S FREESTYLE 74KG,Bronze,Chermen Valiev,Albany,2024,Paris,Summer
WRESTLING,MEN’S FREESTYLE 74KG,Bronze,Kyle Dake,United States,2024,Paris,Summer
WRESTLING,WOMEN’S FREESTYLE 62KG,Bronze,Aisuluu Tynybekova,Kyrgyzstan,2024,Paris,Summer
WRESTLING,WOMEN’S FREESTYLE 62KG,Bronze,Grace Bullen,Norway,2024,Paris,Summer
WRESTLING,MEN’S FREESTYLE 125KG,Bronze,Giorgi Meshvildishvili,Azerbaijan,2024,Paris,Summer
WRESTLING,MEN’S FREESTYLE 125KG,Bronze,Taha Akgul,Turkey,2024,Paris,Summer
BOXING,MEN’S 71KG,Bronze,Lewis Richardson,Britain,2024,Paris,Summer
BOXING,MEN’S 71KG,Bronze,Omari Jones,United States,2024,Paris,Summer
BOXING,MEN’S 92 KG,Bronze,Enmanuel Reyes Pla,Spain,2024,Paris,Summer
BOXING,MEN’S 92 KG,Bronze,Davlat Boltaev,Tajikistan,2024,Paris,Summer
BOXING,WOMEN’S 50KG,Bronze,Nazym Kyzaibay,Kazakhstan,2024,Paris,Summer
BOXING,WOMEN’S 50KG,Bronze,Aira Villegas,Philippines,2024,Paris,Summer
BOXING,WOMEN’S 66KG,Bronze,Janjaem Suwannapheng,Thailand,2024,Paris,Summer
BOXING,WOMEN’S 66KG,Bronze,Chen Nien Chin,Taiwan,2024,Paris,Summer
TAEKWONDO,WOMEN’S -67KG,Bronze,Kristina Teachout,United States,2024,Paris,Summer
TAEKWONDO,WOMEN’S -67KG,Bronze,Sarah Chaari,Belgium,2024,Paris,Summer
TAEKWONDO,MEN’S -80KG,Bronze,Edi Hrnic,Denmark,2024,Paris,Summer
TAEKWONDO,MEN’S -80KG,Bronze,Simone Alessio,Italy,2024,Paris,Summer
WRESTLING,MEN’S FREESTYLE 57KG,Bronze,Aman Aman,India,2024,Paris,Summer
WRESTLING,MEN’S FREESTYLE 57KG,Bronze,Gulomjon Abdullaev,Uzbekistan,2024,Paris,Summer
WRESTLING,MEN’S FREESTYLE 86KG,Bronze,Aaron Brooks,United States,2024,Paris,Summer
WRESTLING,MEN’S FREESTYLE 86KG,Bronze,Dauren Kurugliev,Greece,2024,Paris,Summer
JUDO,MEN’S +100KG,Bronze,Temur Rakhimov,Tadzhikistan,2024,Paris,Summer
JUDO,MEN’S +100KG,Bronze,Alisher Yusupov,Uzbekistan,2024,Paris,Summer
JUDO,WOMEN’S +78KG,Bronze,Romane Dicko,France,2024,Paris,Summer
JUDO,WOMEN’S +78KG,Bronze,Kim Ha-yun,South Korea,2024,Paris,Summer
JUDO,MEN’S -100KG,Bronze,Peter Paltchik,Israel,2024,Paris,Summer
JUDO,MEN’S -100KG,Bronze,Muzaffarbek Turoboyev,Uzbekistan,2024,Paris,Summer
JUDO,WOMEN’S -78KG,Bronze,Ma Zhenzhao,China,2024,Paris,Summer
JUDO,WOMEN’S -78KG,Bronze,Patricia Sampaio,Portugal,2024,Paris,Summer
JUDO,WOMEN’S 63KG,Bronze,Clarisse Agbegnenou,France,2024,Paris,Summer
JUDO,WOMEN’S 63KG,Bronze,Laura Fazliu,Kosovo,2024,Paris,Summer
JUDO,MEN’S 81KG,Bronze,Lee Joon-hwan,South Korea,2024,Paris,Summer
JUDO,MEN’S 81KG,Bronze,Somon Makhmadbekov,Tajikistan,2024,Paris,Summer
JUDO,WOMEN’S SABER INDIVIDUAL,Bronze,Sarah Leonie Cysique,France,2024,Paris,Summer
JUDO,WOMEN’S SABER INDIVIDUAL,Bronze,Haruka Funakubo,Japan,2024,Paris,Summer
JUDO,MEN’S 73KG,Bronze,Soichi Hashimoto,Japan,2024,Paris,Summer
JUDO,MEN’S 73KG,Bronze,Adil Osmanov,Moldova,2024,Paris,Summer
JUDO,WOMEN’S 52KG,Bronze,Larissa Pimenta,Brazil,2024,Paris,Summer
JUDO,WOMEN’S 52KG,Bronze,Amandine Buchard,France,2024,Paris,Summer
JUDO,MEN’S 66KG,Bronze,Gusman Kyrgyzbayev,Kazakhstan,2024,Paris,Summer
JUDO,MEN’S 66KG,Bronze,Denis Vieru,Moldova,2024,Paris,Summer
JUDO,MEN 60KG,Bronze,Ryuju Nagayama,Japan,2024,Paris,Summer
JUDO,MEN 60KG,Bronze,Francisco Garrigos,Spain,2024,Paris,Summer
GYMNASTICS,MEN’S HORIZONTAL BAR,Bronze,Zhang Boheng,China,2024,Paris,Summer
GYMNASTICS,MEN’S HORIZONTAL BAR,Bronze,Tang Chia-hung,Taiwan,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S HIGH JUMP,Bronze,Eleanor Patterson,Australia,2024,Paris,Summer
TRACK AND FIELD,WOMEN’S HIGH JUMP,Bronze,Iryna Gerashchenko,Ukraine,2024,Paris,Summer
SWIMMING,MEN’S 100M BREASTSTROKE,Gold,Nicolo Martinenghi,Italy,2024,Paris,Summer
SWIMMING,MEN’S 100M BREASTSTROKE,Silver,Nic Fink,United States,2024,Paris,Summer
SWIMMING,MEN’S 100M BREASTSTROKE,Silver,Adam Peaty,Great Britain,2024,Paris,Summer
CANOE SPRINT,WOMEN’S KAYAK DOUBLE 500M,Bronze,Noemi Pup and Sara Fojt,Hungary,2024,Paris,Summer
